=== quarterly period coverage (income_statement) ===
Source: tests/fixtures/mini.duckdb
View: per (ticker, fiscal_year, period), MIN(accepted_date) = earliest emission.
Q4 lag = (Q4_first_accepted - FY_first_accepted) in days. A large positive lag means
Q4 didn't appear at the FY filing — it only materialised at the NEXT FY's 10-K.

=== AAPL ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2019 | Y(2019-03-31)  | Y(2019-03-31)  | Y(2019-03-31)  | Y(2019-12-31)  | 2020-02-20  | 2020-02-20  | +0
2020 | Y(2020-03-31)  | Y(2020-03-31)  | Y(2020-03-31)  | Y(2020-12-31)  | 2021-02-24  | 2021-02-24  | +0
2021 | Y(2021-03-31)  | Y(2021-03-31)  | Y(2021-03-31)  | Y(2021-12-31)  | 2022-02-23  | 2022-02-23  | +0
2022 | Y(2022-03-31)  | Y(2022-03-31)  | Y(2022-03-31)  | Y(2022-12-31)  | 2023-02-21  | 2023-02-21  | +0
2023 | Y(2023-03-31)  | Y(2023-03-31)  | Y(2023-03-31)  | Y(2023-12-31)  | 2024-02-22  | 2024-02-22  | +0
2024 | Y(2024-03-31)  | Y(2024-03-31)  | Y(2024-03-31)  | Y(2024-12-31)  | 2025-02-20  | 2025-02-20  | +0
2025 | Y(2025-03-31)  | Y(2025-03-31)  | Y(2025-03-31)  | Y(2025-12-31)  | 2026-02-19  | 2026-02-19  | +0
2026 | Y(2026-03-31)  | N              | N              | N              | ---         | ---         | —
Pattern: Q4 contemporaneous with FY for FY2010+, year-lagged for FY2009-2009.

=== HSY ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2007 | N              | N              | N              | N              | 2010-02-19  | ---         | —
2008 | N              | Y(2008-06-29)  | Y(2008-09-28)  | N              | 2010-02-19  | ---         | —
2009 | Y(2009-04-05)  | Y(2009-07-05)  | Y(2009-10-04)  | Y(2009-12-31)  | 2010-02-19  | 2011-02-18  | +364
2010 | Y(2010-04-04)  | Y(2010-07-04)  | Y(2010-10-03)  | Y(2010-12-31)  | 2011-02-18  | 2011-02-18  | +0
2011 | Y(2011-04-03)  | Y(2011-07-03)  | Y(2011-10-02)  | Y(2011-12-31)  | 2012-02-17  | 2012-02-17  | +0
2012 | Y(2012-04-01)  | Y(2012-07-01)  | Y(2012-09-30)  | Y(2012-12-31)  | 2013-02-22  | 2013-02-22  | +0
2013 | Y(2013-03-31)  | Y(2013-06-30)  | Y(2013-09-29)  | Y(2013-12-31)  | 2014-02-21  | 2014-02-21  | +0
2014 | Y(2014-03-30)  | Y(2014-06-29)  | Y(2014-09-28)  | Y(2014-12-31)  | 2015-02-20  | 2015-02-20  | +0
2015 | Y(2015-04-05)  | Y(2015-07-05)  | Y(2015-10-04)  | Y(2015-12-31)  | 2016-02-26  | 2016-02-26  | +0
2016 | Y(2016-04-03)  | Y(2016-07-03)  | Y(2016-10-02)  | Y(2016-12-31)  | 2017-02-21  | 2017-02-21  | +0
2017 | Y(2017-04-02)  | Y(2017-07-02)  | Y(2017-10-01)  | Y(2017-12-31)  | 2018-02-27  | 2018-02-27  | +0
2018 | Y(2018-04-01)  | Y(2018-07-01)  | Y(2018-09-30)  | Y(2018-12-31)  | 2019-02-22  | 2019-02-22  | +0
2019 | Y(2019-03-31)  | Y(2019-06-30)  | Y(2019-09-29)  | Y(2019-12-31)  | 2020-02-20  | 2020-02-20  | +0
2020 | Y(2020-03-29)  | Y(2020-06-28)  | Y(2020-09-27)  | Y(2020-12-31)  | 2021-02-17  | 2021-02-17  | +0
2021 | Y(2021-04-04)  | Y(2021-07-04)  | Y(2021-10-03)  | Y(2021-12-31)  | 2022-02-18  | 2022-02-18  | +0
2022 | Y(2022-04-03)  | Y(2022-07-03)  | Y(2022-10-02)  | Y(2022-12-31)  | 2023-02-17  | 2023-02-17  | +0
2023 | Y(2023-04-02)  | Y(2023-07-02)  | Y(2023-10-01)  | Y(2023-12-31)  | 2024-02-20  | 2024-02-20  | +0
2024 | Y(2024-03-31)  | Y(2024-06-30)  | Y(2024-09-29)  | Y(2024-12-31)  | 2025-02-18  | 2025-02-18  | +0
2025 | Y(2025-03-30)  | Y(2025-06-29)  | Y(2025-09-28)  | Y(2025-12-31)  | 2026-02-17  | 2026-02-17  | +0
2026 | Y(2026-03-29)  | N              | N              | N              | ---         | ---         | —
Pattern: Q4 contemporaneous with FY for FY2010+, year-lagged for FY2009-2009.

=== SNOW ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2019 | N              | N              | N              | N              | 2021-03-31  | ---         | —
2020 | Y(2020-04-30)  | Y(2020-07-31)  | Y(2019-10-31)  | Y(2020-01-31)  | 2021-03-31  | 2022-03-30  | +364
2021 | N              | N              | Y(2020-10-31)  | N              | 2021-03-31  | ---         | —
2022 | Y(2021-04-30)  | Y(2021-07-31)  | Y(2021-10-31)  | Y(2022-01-31)  | 2022-03-30  | 2022-03-30  | +0
2023 | Y(2022-04-30)  | Y(2022-07-31)  | Y(2022-10-31)  | Y(2023-01-31)  | 2023-03-29  | 2024-03-26  | +363
2024 | Y(2023-04-30)  | Y(2023-07-31)  | Y(2023-10-31)  | Y(2024-01-31)  | 2024-03-26  | 2024-03-26  | +0
2025 | Y(2024-04-30)  | Y(2024-07-31)  | Y(2024-10-31)  | Y(2025-01-31)  | 2025-03-21  | 2025-03-21  | +0
2026 | Y(2025-04-30)  | Y(2025-07-31)  | Y(2025-10-31)  | Y(2026-01-31)  | 2026-03-20  | 2026-03-20  | +0
Pattern: Q4 contemporaneous with FY for FY2024+, year-lagged for FY2020-2023.
